Model,MDO3024
Firmware Version,1.30

Waveform Type,ANALOG,,
Point Format,Y,,
Horizontal Units,s,,
Horizontal Scale,0.1,,
Horizontal Delay,0,,
Sample Interval,0.0001,,
Record Length,10000,,
Gating,0.0% to 100.0%,,
Probe Attenuation,1,1,1
Vertical Units,V,V,V
Vertical Offset,0,0,0
Vertical Scale,0.1,1,5
Vertical Position,1.98,0,-2.04
,,,
,,,
,,,
Label,,,
TIME,CH1,CH2,CH3
-4.793e-01,0.116625,2.00891,1.55703
-4.792e-01,0.114344,2.06969,1.56563
-4.791e-01,0.121359,2.12828,1.56563
-4.790e-01,0.121109,2.03734,1.56328
-4.789e-01,0.118297,1.99828,1.55547
-4.788e-01,0.116203,2.08641,1.56094
-4.787e-01,0.123063,2.13203,1.57031
-4.786e-01,0.122812,2.04453,1.55234
-4.785e-01,0.120063,2.02312,1.55234
-4.784e-01,0.118156,2.10875,1.55625
-4.783e-01,0.125016,2.14125,1.55547
-4.782e-01,0.124703,2.05187,1.55547
-4.781e-01,0.122,2.04703,1.55
-4.780e-01,0.116672,2.10516,1.55938
-4.779e-01,0.116531,2.06312,1.56094
-4.778e-01,0.119969,2.03156,1.55547
-4.777e-01,0.126875,2.04719,1.56328
-4.776e-01,0.124141,1.99969,1.56016
-4.775e-01,0.118969,2.075,1.55781
-4.774e-01,0.118781,2.03625,1.56016
-4.773e-01,0.116406,2.02937,1.55781
-4.772e-01,0.115234,2.13984,1.56094
-4.771e-01,0.121906,2.11906,1.56016
-4.770e-01,0.121547,2.02516,1.56797
-4.769e-01,0.119156,2.03344,1.54844
-4.768e-01,0.114672,2.14188,1.56016
-4.767e-01,0.114625,2.10047,1.55938
-4.766e-01,0.117531,2.02625,1.55938
-4.765e-01,0.124234,1.96734,1.55313
-4.764e-01,0.121953,1.96328,1.56016
-4.763e-01,0.117578,2.09422,1.55859
-4.762e-01,0.117359,2.07703,1.55547
-4.761e-01,0.117125,2.00953,1.55156
-4.760e-01,0.120328,1.99469,1.55625
-4.759e-01,0.123969,2.1125,1.55703
-4.758e-01,0.117047,2.02422,1.55781
-4.757e-01,0.120125,2.02953,1.55625
-4.756e-01,0.124047,2.13156,1.56094
-4.755e-01,0.117156,2.06219,1.56328
-4.754e-01,0.117203,1.98359,1.56172
-4.753e-01,0.120234,1.98406,1.56406
-4.752e-01,0.124172,2.08953,1.57031
-4.751e-01,0.117406,2.04578,1.55938
-4.750e-01,0.117016,1.97641,1.56797
-4.749e-01,0.120219,1.94562,1.57031
-4.748e-01,0.124281,2.03109,1.56875
-4.747e-01,0.121078,2.05812,1.56406
-4.746e-01,0.124719,2.13125,1.56953
-4.745e-01,0.120656,1.88875,1.57266
-4.744e-01,0.124891,1.97016,1.57578
-4.743e-01,0.115719,1.99859,1.58047
-4.742e-01,0.113047,2.02062,1.57891
-4.741e-01,0.120188,2.09219,1.57734
-4.740e-01,0.117156,1.99297,1.57656
-4.739e-01,0.114563,2.00563,1.57812
-4.738e-01,0.121672,2.10312,1.57422
-4.737e-01,0.118859,2.01016,1.57578
-4.736e-01,0.116484,2.07437,1.57109
-4.735e-01,0.123359,2.11844,1.56875
-4.734e-01,0.123047,2.04078,1.57656
-4.733e-01,0.120437,2.00047,1.57422
-4.732e-01,0.118469,2.06422,1.58125
-4.731e-01,0.125281,2.12016,1.57422
-4.730e-01,0.124844,2.03109,1.57734
-4.729e-01,0.122344,1.97156,1.58359
-4.728e-01,0.120266,2.04594,1.59297
-4.727e-01,0.127172,2.07469,1.58672
-4.726e-01,0.124547,2.00156,1.58516
-4.725e-01,0.119219,2.04438,1.57812
-4.724e-01,0.119047,1.97828,1.57891
-4.723e-01,0.116641,1.9575,1.57344
-4.722e-01,0.11525,2.05344,1.58047
-4.721e-01,0.121781,2.0225,1.575
-4.720e-01,0.119469,1.98672,1.57969
-4.719e-01,0.115063,2.08078,1.5625
-4.718e-01,0.118297,1.99687,1.56953
-4.717e-01,0.122891,1.995,1.57578
-4.716e-01,0.118219,2.09766,1.5875
-4.715e-01,0.118156,2.02,1.5875
-4.714e-01,0.121172,2.03031,1.575
-4.713e-01,0.124766,2.14406,1.57031
-4.712e-01,0.117922,2.06797,1.57656
-4.711e-01,0.117531,1.98094,1.58125
-4.710e-01,0.120437,1.97922,1.59688
-4.709e-01,0.124453,2.11094,1.58281
-4.708e-01,0.117563,2.03375,1.58047
-4.707e-01,0.120703,2.04203,1.58672
-4.706e-01,0.124656,2.14688,1.59375
-4.705e-01,0.118063,2.07578,1.58438
-4.704e-01,0.117656,2.00359,1.59219
-4.703e-01,0.120859,2.01578,1.58594
-4.702e-01,0.124906,2.10125,1.58594
-4.701e-01,0.118141,2.04703,1.59141
-4.700e-01,0.115031,1.98578,1.58281
-4.699e-01,0.1125,2.01734,1.58125
-4.698e-01,0.119328,2.11969,1.58125
-4.697e-01,0.116047,2.00984,1.57812
-4.696e-01,0.113516,2.02906,1.57578
-4.695e-01,0.120609,2.12828,1.58203
-4.694e-01,0.120109,2.02609,1.58203
-4.693e-01,0.117219,1.98172,1.57891
-4.692e-01,0.114719,2.03453,1.58281
-4.691e-01,0.121672,2.11359,1.58359
-4.690e-01,0.118953,2.02422,1.58516
-4.689e-01,0.116219,2.05141,1.58359
-4.688e-01,0.123359,2.1275,1.58438
-4.687e-01,0.122734,2.05984,1.58203
-4.686e-01,0.120188,2.02844,1.57109
-4.685e-01,0.118141,2.07172,1.58047
-4.684e-01,0.125031,2.11625,1.57422
-4.683e-01,0.124781,2.02094,1.58203
-4.682e-01,0.122047,1.98438,1.57969
-4.681e-01,0.119969,2.05203,1.56563
-4.680e-01,0.127031,2.09953,1.57344
-4.679e-01,0.124141,2.04875,1.57109
